epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,8460.87,0.61211,3.1413,0.08418,0.36017,0.97081,0.95619,0.92058,0.96314,0.77607,0.79767,0.7412,0.67898,0.23858,0.73296,3.3192,0.03777,0.42931,1.02232,0.00052975,0.00052975,0.00052975
40,8677.24,0.61916,3.12868,0.08448,0.36292,0.97568,0.95414,0.91643,0.95969,0.76614,0.79357,0.74011,0.67366,0.23544,0.74517,3.32759,0.03956,0.44019,1.02601,0.000517375,0.000517375,0.000517375
41,8893.82,0.61755,3.11515,0.08706,0.36547,0.9731,0.95988,0.91123,0.96612,0.76873,0.81251,0.74193,0.69721,0.24645,0.73335,3.29566,0.03885,0.42867,1.01735,0.000505,0.000505,0.000505
42,9110.48,0.60755,3.08604,0.08215,0.35885,0.96961,0.96274,0.93211,0.97139,0.78149,0.80944,0.75427,0.69981,0.25452,0.71309,3.24454,0.03499,0.39704,1.0039,0.000492625,0.000492625,0.000492625
43,9326.38,0.60413,3.01108,0.08231,0.35526,0.96651,0.95589,0.9254,0.96969,0.77737,0.80747,0.74915,0.6941,0.24938,0.72831,3.23434,0.03581,0.41817,1.01466,0.00048025,0.00048025,0.00048025
44,9542.43,0.59544,2.95652,0.07798,0.34415,0.96168,0.95014,0.92228,0.96796,0.77693,0.80337,0.75655,0.70172,0.26227,0.72127,3.19177,0.03726,0.41817,1.00803,0.000467875,0.000467875,0.000467875
45,9758.79,0.59133,2.93504,0.07383,0.34348,0.95626,0.9552,0.92365,0.96376,0.7728,0.79499,0.7538,0.69596,0.25232,0.72665,3.22011,0.03448,0.4242,1.01069,0.0004555,0.0004555,0.0004555
46,9975.11,0.5973,2.94156,0.07881,0.34286,0.95689,0.95058,0.92568,0.96277,0.77378,0.80816,0.77155,0.71353,0.26316,0.71823,3.17063,0.03569,0.41557,1.01169,0.000443125,0.000443125,0.000443125
47,10191.4,0.58907,2.91461,0.07985,0.3385,0.95786,0.95223,0.93353,0.9635,0.7724,0.80301,0.77115,0.72257,0.26819,0.71802,3.16538,0.03571,0.4186,1.0154,0.00043075,0.00043075,0.00043075
48,10408.1,0.57735,2.87635,0.07591,0.33579,0.95136,0.95,0.92581,0.96366,0.77519,0.80578,0.7622,0.70406,0.26281,0.71422,3.14427,0.03525,0.41921,1.00852,0.000418375,0.000418375,0.000418375
49,10624.2,0.57782,2.83072,0.07502,0.33365,0.94926,0.95206,0.92422,0.96266,0.77957,0.81687,0.76468,0.72603,0.27472,0.70744,3.12241,0.03581,0.4142,1.00491,0.000406,0.000406,0.000406
50,10840.3,0.57076,2.81124,0.07812,0.32888,0.94805,0.95382,0.92732,0.96133,0.77737,0.82404,0.76811,0.72814,0.27126,0.7096,3.10232,0.03885,0.41435,1.00369,0.000393625,0.000393625,0.000393625
51,11056.6,0.56599,2.74524,0.07511,0.32481,0.94385,0.94971,0.9298,0.96552,0.78223,0.85324,0.79752,0.76512,0.28485,0.70228,3.02302,0.03994,0.3959,1.00041,0.00038125,0.00038125,0.00038125
52,11273,0.57242,2.80124,0.08348,0.33049,0.95023,0.95317,0.91754,0.96105,0.7775,0.83364,0.77478,0.7462,0.28454,0.70474,3.06294,0.03879,0.41226,1.00838,0.000368875,0.000368875,0.000368875
53,11489.4,0.56411,2.75952,0.0795,0.32714,0.94933,0.95152,0.93176,0.96815,0.78431,0.84433,0.79677,0.76627,0.29239,0.70145,3.02131,0.0406,0.38958,1.00141,0.0003565,0.0003565,0.0003565
54,11705.6,0.56536,2.77103,0.08452,0.32639,0.94694,0.95242,0.92541,0.96431,0.7827,0.82736,0.78609,0.74368,0.2782,0.69415,3.03338,0.03613,0.40536,0.99398,0.000344125,0.000344125,0.000344125
55,11922,0.55386,2.68772,0.07663,0.31938,0.94298,0.95558,0.93131,0.96409,0.78565,0.82645,0.78863,0.74147,0.29086,0.69355,2.98529,0.0373,0.39774,0.99526,0.00033175,0.00033175,0.00033175
56,12138.1,0.54706,2.62416,0.07495,0.30947,0.93624,0.95793,0.92791,0.96401,0.78604,0.83338,0.79119,0.7388,0.28711,0.69932,2.99118,0.03834,0.39986,0.99771,0.000319375,0.000319375,0.000319375
57,12354.6,0.54366,2.59502,0.07306,0.31294,0.93567,0.96151,0.92598,0.96549,0.78386,0.84826,0.79207,0.76755,0.29956,0.69984,2.95629,0.03783,0.38947,0.99661,0.000307,0.000307,0.000307
58,12571.3,0.54684,2.60966,0.07549,0.31254,0.93902,0.94836,0.94151,0.96651,0.78757,0.84475,0.79722,0.76282,0.29799,0.69066,2.94077,0.03573,0.39108,0.9954,0.000294625,0.000294625,0.000294625
59,12788,0.53713,2.56056,0.07391,0.30689,0.93439,0.9587,0.92859,0.96623,0.7862,0.84147,0.79053,0.74616,0.2933,0.70084,2.94214,0.03594,0.39091,0.99917,0.00028225,0.00028225,0.00028225
60,13004.1,0.53303,2.51919,0.06833,0.30383,0.9301,0.9577,0.92806,0.96387,0.7849,0.84527,0.79032,0.74778,0.29346,0.70168,2.93636,0.039,0.39968,0.99667,0.000269875,0.000269875,0.000269875
61,13220.6,0.5384,2.5191,0.07308,0.30338,0.93228,0.96343,0.93124,0.96448,0.7867,0.84487,0.80426,0.76075,0.30312,0.69313,2.9007,0.03449,0.38877,0.9963,0.0002575,0.0002575,0.0002575
62,13436.9,0.53789,2.51473,0.07378,0.30413,0.93426,0.95736,0.93463,0.96734,0.78675,0.84185,0.79992,0.76194,0.30515,0.68675,2.89453,0.03693,0.38661,0.99274,0.000245125,0.000245125,0.000245125
63,13653.1,0.53248,2.4887,0.07374,0.30156,0.93227,0.96569,0.92526,0.96468,0.78638,0.85254,0.8013,0.76304,0.3091,0.68518,2.88158,0.03623,0.38302,0.99166,0.00023275,0.00023275,0.00023275
64,13869.3,0.52042,2.42849,0.07189,0.29457,0.92408,0.95271,0.93651,0.96484,0.78797,0.8532,0.803,0.77186,0.31226,0.68455,2.87015,0.03413,0.37992,0.99053,0.000220375,0.000220375,0.000220375
65,14085.7,0.52185,2.43322,0.07398,0.29341,0.92625,0.95219,0.9426,0.96201,0.78622,0.85363,0.80944,0.7712,0.31127,0.68557,2.86892,0.03401,0.38586,0.98657,0.000208,0.000208,0.000208
66,14301.7,0.50751,2.41173,0.07487,0.28855,0.92011,0.95203,0.93168,0.96544,0.78901,0.85544,0.80566,0.77861,0.31314,0.68261,2.85312,0.03456,0.38238,0.98837,0.000195625,0.000195625,0.000195625
67,14518,0.50593,2.39552,0.07237,0.28634,0.92074,0.95444,0.93099,0.96092,0.7852,0.85611,0.79146,0.77001,0.31214,0.68347,2.85034,0.03371,0.38876,0.987,0.00018325,0.00018325,0.00018325
68,14734.3,0.50701,2.36409,0.06953,0.28851,0.9125,0.95773,0.93511,0.96638,0.78849,0.86186,0.82561,0.80267,0.32199,0.68218,2.819,0.03467,0.38328,0.98599,0.000170875,0.000170875,0.000170875
69,14950.5,0.50009,2.3452,0.073,0.28631,0.91252,0.95504,0.93976,0.96766,0.78839,0.85106,0.81385,0.78295,0.31921,0.67941,2.81316,0.0344,0.3749,0.98699,0.0001585,0.0001585,0.0001585
70,15166.8,0.49626,2.31514,0.06908,0.2843,0.91136,0.95867,0.93529,0.96402,0.79134,0.85002,0.80885,0.77794,0.32161,0.67614,2.79521,0.03221,0.38101,0.98482,0.000146125,0.000146125,0.000146125
71,15384.8,0.46173,2.05035,0.04141,0.25424,0.89234,0.96199,0.93613,0.96669,0.78788,0.8459,0.81639,0.7803,0.32584,0.67976,2.79704,0.03206,0.38453,0.98624,0.00013375,0.00013375,0.00013375
72,15600.9,0.45674,2.03306,0.04303,0.25105,0.89236,0.95999,0.93573,0.96654,0.78934,0.8471,0.82006,0.77836,0.32661,0.67869,2.78306,0.0323,0.37851,0.98631,0.000121375,0.000121375,0.000121375
73,15817.5,0.45498,2.01383,0.04112,0.24896,0.88904,0.9678,0.9333,0.96228,0.78523,0.86736,0.82073,0.78747,0.32616,0.68071,2.77801,0.0317,0.38291,0.98698,0.000109,0.000109,0.000109
74,16033.8,0.44495,1.98239,0.04081,0.24459,0.88783,0.96414,0.93407,0.9627,0.78895,0.86988,0.82451,0.79639,0.32694,0.67618,2.75651,0.03084,0.3793,0.9851,9.6625e-05,9.6625e-05,9.6625e-05
75,16250.1,0.44522,1.97032,0.03996,0.24509,0.88907,0.96694,0.9366,0.96218,0.78896,0.86594,0.82956,0.79078,0.32795,0.67748,2.7592,0.02981,0.3781,0.98518,8.425e-05,8.425e-05,8.425e-05
76,16466.5,0.43848,1.95408,0.04056,0.24046,0.88455,0.96812,0.93179,0.96327,0.79094,0.86566,0.82807,0.79129,0.32916,0.67546,2.75318,0.03035,0.37407,0.98333,7.1875e-05,7.1875e-05,7.1875e-05
77,16682.7,0.43495,1.94903,0.04042,0.24116,0.88739,0.96418,0.93731,0.96393,0.79088,0.86104,0.82871,0.79052,0.33099,0.67363,2.74867,0.0312,0.37628,0.98239,5.95e-05,5.95e-05,5.95e-05
78,16899,0.43352,1.92735,0.03929,0.23961,0.88091,0.96345,0.93641,0.96769,0.79237,0.87123,0.82251,0.79426,0.33359,0.67204,2.74366,0.0314,0.37144,0.98113,4.7125e-05,4.7125e-05,4.7125e-05
79,17115.4,0.42824,1.91004,0.03999,0.23587,0.88676,0.96311,0.94187,0.96828,0.79472,0.87389,0.83351,0.80666,0.33672,0.67057,2.73685,0.03061,0.36863,0.97993,3.475e-05,3.475e-05,3.475e-05
80,17331.5,0.42387,1.8933,0.03952,0.23405,0.88099,0.95994,0.94012,0.96784,0.79375,0.87279,0.82909,0.79959,0.33453,0.67094,2.7294,0.0302,0.36867,0.98039,2.2375e-05,2.2375e-05,2.2375e-05
